Codigo_CNAE,Subclasse,Ativos,Inativos,Total
47.11-3/01,Hipermercados,5878,4327,10205
47.11-3/02,Supermercados,35613,6105,41718
47.12-1/00,"Minimercados, Mercearias e Armazéns",181546,54948,236494
47.21-1/02,Padarias e Confeitarias,43857,7355,51212
47.21-1/03,Varejistas de Laticínios e Frios,7626,2262,9888
47.21-1/04,"Varejistas de Doces, Balas, Bombons e Semelhantes",18702,4861,23563
47.22-9/01,Açougues,30339,8999,39338
47.22-9/02,Peixarias,3709,1063,4772
47.24-5/00,Varejistas de Hortifrutigranjeiros,19972,5164,25136
47.29-6/02,Lojas de Conveniência,2029,897,2926
47.29-6/99,Varejistas de Produtos Alimentícios em Geral,48594,12788,61382
56.11-2/01,Restaurantes e Similares,121489,24780,146269
56.11-2/02,Bares e Similares,37421,10698,48119
56.11-2/03,"Lanchonetes, Casas de Chá, de Sucos e Similares",134787,36336,171123
56.12-1/00,Serviços Ambulantes de Alimentação,7181,2052,9233
56.20-1/03,Cantinas - Serviços de Alimentação Privativos,3313,1316,4629
TOTAL,Total,716078,186596,902674
